"KOD","NAZEV","ANAZEV","ZKRATKA","AZKRATKA"
P,Program CŽV - na výkon povolání,Lifelong learning programme - Profession-oriented,,
I,Mezinárodně uznávaný kurz,Internationally Recognised Course,,
F,MF cizí fakulta,interfaculty - other faculty,,
O,Program CŽV - zájmový,Lifelong learning programme - Interest-oriented,,
U,Program CŽV - univerzita třetího věku,Lifelong learning programme - University of the Third Age,,
C,microcredentials,microcredentials,,
D,doktorské,doctoral,Ph.D.,Ph.D.
B,bakalářské,Bachelor's,Bc,Bc
R,rigorózní řízení,rigorosum,,
N,navazující magisterské,Master's (post-Bachelor),NMgr,NMgr
M,magisterské,Master's,Mgr,Mgr
