"KOD","NAZEV","ANAZEV","DOD","DDO","NEPLATNOST","PODM","ADJ6","ISO639_3"
CHN,čínština,Chinese,,,,,,
ARM,arménština,Armenian,,,,,,
BEL,běloruština,Belarusian,,,,,,
BUL,bulharština,Bulgarian,,,,,,
CSE,český znakový jazyk,Czech Sign Language,,,,,,
CZE,čeština,Czech,,,,T,českém,ces
DAN,dánština,Danish,,,,,,
DUT,nizozemština,Dutch,,,,,,nld
ENG,angličtina,English,,,,T,anglickém,eng
EST,estonština,Estonian,,,,,,
FIN,finština,Finnish,,,,,,
FRE,francouzština,French,,,,T,francouzském,fra
GEO,gruzínština,Georgian,,,,,,
GER,němčina,German,,,,T,německém,deu
GRC,starořečtina,Ancient Greek,,,,,,
GRE,řečtina,Greek,,,,,,
HUN,maďarština,Hungarian,,,,,,
ITA,italština,Italian,,,,T,italském,ita
JPN,japonština,Japanese,,,,,,
KOR,korejština,Korean,,,,,,
LAV,lotyšština,Latvian,,,,,,
LIT,litevština,Lithuanian,,,,,,
NOR,norština,Norwegian,,,,,,
POL,polština,Polish,,,,T,polském,pol
POR,portugalština,Portuguese,,,,,,
RUM,rumunština,Romanian,,,,,,
RUS,ruština,Russian,,,,T,ruském,rus
SCC,srbština,Serbian,,,,,,
SCR,chorvatština,Croatian,,,,,,
SLO,slovenština,Slovak,,,,P,,slk
SLV,slovinština,Slovenian,,,,P,,
SPA,španělština,Spanish,,,,P,,
SWE,švédština,Swedish,,,,,,
TUR,turečtina,Turkish,,,,,,
UKR,ukrajinština,Ukrainian,,,,,,
VIE,vietnamština,Vietnamese,,,,,,
GLG,galicijština,Galician,,,,P,,
BOS,bosenština,Bosnian,,,,P,,
