"KOD","NAZEV","KONTROLA1","KONTROLA2","KONTROLACELK","EXAM1","EXAM2","ANAZEV","DOD","DDO","NEPLATNOST","AEXAM1","AEXAM2"
-*,bez examinace / zápočet + zkouška,,,,---,Z+Zk,without assessment / course credit + examination,,,,---,C+Ex
--,bez examinace / bez examinace,,,,---,---,without assessment / without assessment,,,,---,---
D,bakalářská/diplomová práce,,,,Dipl,,bachelor's/diploma thesis,,,,thesis,
-F,bez examinace / klasif. zápočet,,,,---,KZ,without assessment / marked course credit,,,,---,MC
F,klasif. zápočet,,,,KZ,,marked course credit,,,,MC,
F*,klasif. zápočet / zápočet + zkouška,,,,KZ,Z+Zk,marked course credit / course credit + examination,,,,MC,C+Ex
FF,klasif. zápočet / klasif. zápočet,,,,KZ,KZ,marked course credit / marked course credit,,,,MC,MC
FZ,Klasif. zápočet / zápočet,,,,KZ,Z,marked course credit / course credit,,,,MC,C
*K,zápočet + zkouška / zkouška,,,,Z+Zk,Zk,course credit + examination / examination,,,,C+Ex,Ex
-K,bez examinace / zkouška,,,,---,Zk,without assessment / examination,,,,---,Ex
K,zkouška,,,,Zk,,examination,,,,Ex,
K*,zkouška / zápočet + zkouška,,,,Zk,Z+Zk,examination / course credit + examination,,,,Ex,C+Ex
K-,zkouška / bez examinace,,,,Zk,---,examination / without assessment,,,,Ex,---
KF,zkouška / klasif. zápočet,,,,Zk,KZ,examination / marked course credit,,,,Ex,MC
KK,zkouška / zkouška,,,,Zk,Zk,examination / examination,,,,Ex,Ex
KZ,zkouška / zápočet,,,,Zk,Z,examination / course credit,,,,Ex,C
L,klauzurní práce,,,,KLP,,course test,,,,CT,
P,rigorózní práce,,,,Rigo,,rigorous thesis,,,,rigo,
R,Rigorózní zkouška,,,,RZ,,State Rigorosum Examination,,,,REx,
-X,bez examinace / zápočet (+ zkouška),,,,---,Z(+Zk),without assessment / course credit (+ examination),,,,---,C(+Ex)
X,zápočet (+ zkouška),,,,Z(+Zk),,course credit (+ examination),,,,C(+Ex),
*Z,zápočet + zkouška / zápočet,,,,Z+Zk,Z,course credit + examination / course credit,,,,C+Ex,C
-Z,bez examinace / zápočet,,,,---,Z,without assessment / course credit,,,,---,C
Z,zápočet,,,,Z,,course credit,,,,C,
Z*,zápočet / zápočet + zkouška,,,,Z,Z+Zk,course credit / course credit + examination,,,,C,C+Ex
ZF,zápočet / klasif .zápočet,,,,Z,KZ,course credit / marked course credit,,,,C,MC
ZK,zápočet / zkouška,,,,Z,Zk,course credit / examination,,,,C,Ex
ZX,zápočet / zápočet (+ zkouška),,,,Z,Z(+Zk),course credit / course credit (+ examination),,,,C,C(+Ex)
ZZ,zápočet / zápočet,,,,Z,Z,course credit / course credit,,,,C,C
"1",SZ,,,,SZ,,SE,,,,STEX,
"2","2. SZ",,,,"2.SZ",,"2 SE",,,T,STEX,
"3","3. SZ",,,,"3.SZ",,"3 SE",,,T,STEX,
XX,zápočet (+ zkouška) / zápočet (+ zkouška),,,,Z(+Zk),Z(+Zk),course credit (+ examination) / course credit (+ e,,,,C(+Ex),C(+Ex)
I,disertační práce,,,,Dise,,doctoral thesis,,,,disse,
ZJ,zápočet / jiné,,,,Z,Jiné,course credit / other,,,,C,other
JK,jiné / zkouška,,,,Jiné,Zk,other / examination,,,,other,Ex
-L,nic / klauzurní práce,,,,---,KLP,none / course test,,,,---,CT
-#,bez examinace / kolokvium + zkouška,,,,---,Kv+Zk,without assessment / colloquium + examination,,,,---,colloquium+Ex
B,souborná zkouška,,,,Soub,,comprehensive exam,,,,comp,
Q*,kolokvium / zápočet + zkouška,,,,Kv,Z+Zk,colloquium / course credit + examination,,,,colloquium,C+Ex
J,jiné,,,,Jiné,,other,,,,other,
*,zápočet + zkouška,,,,Z+Zk,,course credit + examination,,,,C+Ex,
-J,bez examinace / jiné,,,,---,Jiné,without assessment / other,,,,---,other
Z#,zápočet / kolokvium + zkouška,,,,Z,Kv+Zk,course credit / colloquium + examination,,,,C,colloquium+Ex
Q#,kolokvium / kolokvium + zkouška,,,,Kv,Kv+Zk,colloquium / colloquium + examination,,,,colloquium,colloquium+Ex
#,kolokvium + zkouška,,,,Kv+Zk,,colloquium + examination,,,,colloquium+Ex,
ZL,zápočet / klauzurní práce,,,,Z,KLP,course credit / course test,,,,C,CT
LK,klauzurní práce / zkouška,,,,KLP,Zk,course test / examination,,,,CT,Ex
QK,kolokvium / zkouška,,,,Kv,Zk,colloquium / examination,,,,colloquium,Ex
QQ,kolokvium / kolokvium,,,,Kv,Kv,colloquium / colloquium,,,,colloquium,colloquium
Q,kolokvium,,,,Kv,,colloquium,,,,colloquium,
-Q,nic / kolokvium,,,,---,Kv,none / colloquium,,,,---,colloquium
S,zkouška,,,,Zk,,examination,,,,Ex,
FK,klasif. zápočet / zkouška,,,,KZ,Zk,marked course credit / examination,,,,MC,Ex
JJ,jiné / jiné,,,,Jiné,Jiné,other / other,,,,other,other
H,hodnocení za ak. rok,,,,Hodn,,assessment for academic year,,,,assess,
**,zápočet + zkouška / zápočet + zkouška,,,,Z+Zk,Z+Zk,course credit + examination / course credit + exam,,,,C+Ex,C+Ex
*-,zápočet + zkouška / bez examinace,,,,Z+Zk,---,course credit + examination / without examination,,,,C+Ex,---
-,bez examinace,,,,---,,without assessment,,,,---,
