"FACULTY_ID","POID","FACULTY_NAME_CS","FACULTY_NAME_EN","ABBR"
"11140","111",Lékařská fakulta v Plzni,Faculty of Medicine in Pilsen,LFP
"11240","120",Fakulta humanitních studií,Faculty of Humanities,FHS
"11320","116",Matematicko-fyzikální fakulta,Faculty of Mathematics and Physics,MFF
"11680","130",Ústřední knihovna,Central Library of Charles University,ÚK
"11310","115",Přírodovědecká fakulta,Faculty of Science,PřF
"11210","114",Filozofická fakulta,Faculty of Arts,FF
"11150","112",Lékařská fakulta v Hradci Králové,Faculty of Medicine in Hradec Králové,LFHK
"11000","2",UNIVERZITA KARLOVA,Charles University,UK
"11280","106",Husitská teologická fakulta,Hussite Theological Faculty,HTF
"11220","107",Právnická fakulta,Faculty of Law,PF
"11120","110","3. lékařská fakulta",Third Faculty of Medicine,"3.LF"
"11260","104",Katolická teologická fakulta,Catholic Theological Faculty,KTF
"11410","117",Pedagogická fakulta,Faculty of Education,PedF
"11110","108","1. lékařská fakulta",First Faculty of Medicine,"1.LF"
"11670","129",Ústav jazykové a odborné přípravy,Institute for Language and Preparatory Studies,ÚJOP
"11160","113",Farmaceutická fakulta v Hradci Králové,Faculty of Pharmacy in Hradec Králové,FaF
"11270","105",Evangelická teologická fakulta,Protestant Theological Faculty,ETF
"11640","126",Centrum pro ekonomický výzkum a doktorské studium,Centre for Economic Research and Graduate Education,CERGE
"11710","247",Centrum pro přenos poznatků a technologií,Centre for Knowledge and Technology Transfer,CPPT
"11510","119",Fakulta tělesné výchovy a sportu,Faculty of Physical Education and Sport,FTVS
"11230","118",Fakulta sociálních věd,Faculty of Social Sciences,FSV
"11610",,Ústav dějin Univerzity Karlovy a archiv Univerzity Karlovy,Institute of the History of Charles University and Archive of Charles University,ÚDAUK
"11620","125",Centrum pro teoretická studia,Centre for Theoretical Study;,CTS
"11690",,Centrum pro otázky životního prostředí,Environment Centre,COŽP
"11130","109","2. lékařská fakulta",Second Faculty of Medicine,"2.LF"
"11901","103",Rektorát Univerzity Karlovy,Rectorate,RUK
