"SPLAN","NAZEV","ZKRATKA"
NIUI23N,Informatika - Umělá inteligence,NMgr
NISP24B,Informatika se specializací Systémové programování,Bc
NIUIA20N,Computer Science - Artificial Intelligence,NMgr
NIVVPA22N,Computer Science - Visual Computing and Game Development,NMgr
NIDAWA22B,Computer Science with specialisation in Databases and Web,Bc
NIUI20N,Informatika - Umělá inteligence,NMgr
NIDMA20N,Informatika - Diskrétní modely a algoritmy,NMgr
NITI22N,Informatika - Teoretická informatika,NMgr
NIUI24B,Informatika se specializací Umělá inteligence,Bc
NIPGVAVH19B,"Informatika se specializací Počítačová grafika, vidění a vývoj her",Bc
NITI20N,Informatika - Teoretická informatika,NMgr
NIDAW22B,Informatika se specializací Databáze a web,Bc
NITIA22N,Computer Science - Theoretical Computer Science,NMgr
NIDAW19B,Informatika se specializací Databáze a web,Bc
NIPP19B,Informatika,Bc
NISD20N,Informatika - Softwarové a datové inženýrství,NMgr
NIJTP23N,Informatika - Jazykové technologie a počítačová lingvistika,NMgr
NIJTP24N,Informatika - Jazykové technologie a počítačová lingvistika,NMgr
NIUIA24B,Computer Science with specialisation in Artificial Intelligence,Bc
NISP19B,Informatika se specializací Systémové programování,Bc
NIUIA24N,Computer Science - Artificial Intelligence,NMgr
NIPP19B,Informatika se specializací Obecná informatika,Bc
NIDAW23B,Informatika se specializací Databáze a web,Bc
NIUI24N,Informatika - Umělá inteligence,NMgr
NISP23B,Informatika se specializací Systémové programování,Bc
NISS20N,Informatika - Softwarové systémy,NMgr
NIVVVPH24N,Informatika - Vizuální výpočty a vývoj počítačových her,NMgr
NISD23N,Informatika - Softwarové a datové inženýrství,NMgr
NISS22N,Informatika - Softwarové systémy,NMgr
NISD22N,Informatika - Softwarové a datové inženýrství,NMgr
NIOI19B,Informatika se specializací Obecná informatika,Bc
NIPVS19B,Informatika se specializací Programování a vývoj software,Bc
NISWSPA20N,Computer Science - Software Systems,NMgr
NIOIA19B,Computer Science with specialisation in Foundations of Computer Science,Bc
NIJTPA24N,Computer Science - Language Technologies and Computational Linguistics,NMgr
NIOI24B,Informatika se specializací Obecná informatika,Bc
NIVVVPH20N,Informatika - Vizuální výpočty a vývoj počítačových her,NMgr
NIVVVPH22N,Informatika - Vizuální výpočty a vývoj počítačových her,NMgr
NIUIA23N,Computer Science - Artificial Intelligence,NMgr
NISDA20N,Computer Science - Software and Data Engineering,NMgr
NIVVVPH23N,Informatika - Vizuální výpočty a vývoj počítačových her,NMgr
NIUI19B,Informatika se specializací Umělá inteligence,Bc
NIPPA19B,Computer Science,Bc
NIJTPA20N,Computer Science - Language Technologies and Computational Linguistics,NMgr
NIPGVAVH22B,"Informatika se specializací Počítačová grafika, vidění a vývoj her",Bc
NISDA23N,Computer Science - Software and Data Engineering,NMgr
NIUIA19B,Computer Science with specialisation in Artificial Intelligence,Bc
NIVVPA24N,Computer Science - Visual Computing and Game Development,NMgr
NIJTP20N,Informatika - Jazykové technologie a počítačová lingvistika,NMgr
NIDMAA20N,Computer Science - Discrete Models and Algorithms,NMgr
NIDAWA19B,Computer Science with specialisation in Databases and Web,Bc
NIVVPA20N,Computer Science - Visual Computing and Game Development,NMgr
